user_id	item_id	rating	timestep
1	185	4	1
1	156	5	2
1	265	3	3
1	96	4	4
1	171	3	5
1	236	4	6
1	247	4	7
1	111	3	8
1	50	4	9
1	134	5	10
1	164	4	11
1	161	5	12
1	189	5	13
1	5	5	14
1	142	4	15
1	92	5	16
1	75	3	17
1	235	3	18
1	112	5	19
1	3	4	20
1	25	5	21
1	99	2	22
1	84	4	23
1	129	4	24
1	139	3	25
1	56	5	26
1	104	5	27
1	107	3	28
1	23	5	29
1	10	5	30
2	270	5	1
2	211	4	2
2	242	4	3
2	116	5	4
2	164	4	5
2	109	5	6
2	161	3	7
2	201	4	8
2	13	4	9
2	97	4	10
2	148	4	11
2	269	5	12
2	251	5	13
2	260	4	14
2	166	4	15
2	99	4	16
2	193	3	17
2	239	4	18
2	74	3	19
2	117	4	20
2	76	5	21
2	123	5	22
2	125	5	23
2	186	4	24
2	39	3	25
2	130	5	26
2	159	3	27
2	53	5	28
2	220	4	29
2	87	4	30
3	55	3	1
3	172	5	2
3	196	3	3
3	163	4	4
3	230	5	5
3	139	4	6
3	218	3	7
3	8	5	8
3	183	5	9
3	77	3	10
3	130	4	11
3	56	4	12
3	21	5	13
3	167	5	14
3	179	4	15
3	94	3	16
3	113	4	17
3	100	5	18
3	261	4	19
3	54	4	20
3	164	5	21
3	37	4	22
3	242	4	23
3	270	5	24
3	105	2	25
3	193	4	26
3	47	3	27
3	180	5	28
3	123	4	29
3	235	5	30
4	126	5	1
4	7	4	2
4	96	3	3
4	94	5	4
4	109	4	5
4	113	3	6
4	142	5	7
4	62	5	8
4	232	5	9
4	37	1	10
4	8	4	11
4	63	4	12
4	226	5	13
4	167	4	14
4	268	5	15
4	211	4	16
4	107	5	17
4	52	4	18
4	59	5	19
4	92	5	20
4	212	4	21
4	122	5	22
4	181	5	23
4	202	1	24
4	58	3	25
4	19	5	26
4	228	4	27
4	210	4	28
4	33	5	29
4	49	3	30
5	132	5	1
5	41	5	2
5	208	3	3
5	36	5	4
5	67	4	5
5	200	5	6
